Model,Parameters,GFLOPs,ModelSize,mAP50,mAP50-95
"yolov5s ","7066762 ","15.9  ","14.5MB ","0.726     "," 0.529"
"Prune-exp1 ",4752030(67.2%),12.2(76.7%),9.8M,0.71,0.52
